ID,Input1,Type,Input2
G1,S4,NOT,-
G2,I0,AND,G1
G3,I1,AND,S4
G4,G2,OR,G3
G5,S4,NOT,-
G6,I2,AND,G5
G7,I3,AND,S4
G8,G6,OR,G7
G9,S3,NOT,-
G10,G4,AND,G9
G11,G8,AND,S3
G12,G10,OR,G11
G13,S4,NOT,-
G14,I4,AND,G13
G15,I5,AND,S4
G16,G14,OR,G15
G17,S4,NOT,-
G18,I6,AND,G17
G19,I7,AND,S4
G20,G18,OR,G19
G21,S3,NOT,-
G22,G16,AND,G21
G23,G20,AND,S3
G24,G22,OR,G23
G25,S2,NOT,-
G26,G12,AND,G25
G27,G24,AND,S2
G28,G26,OR,G27
G29,S4,NOT,-
G30,I8,AND,G29
G31,I9,AND,S4
G32,G30,OR,G31
G33,S4,NOT,-
G34,I10,AND,G33
G35,I11,AND,S4
G36,G34,OR,G35
G37,S3,NOT,-
G38,G32,AND,G37
G39,G36,AND,S3
G40,G38,OR,G39
G41,S4,NOT,-
G42,I12,AND,G41
G43,I13,AND,S4
G44,G42,OR,G43
G45,S4,NOT,-
G46,I14,AND,G45
G47,I15,AND,S4
G48,G46,OR,G47
G49,S3,NOT,-
G50,G44,AND,G49
G51,G48,AND,S3
G52,G50,OR,G51
G53,S2,NOT,-
G54,G40,AND,G53
G55,G52,AND,S2
G56,G54,OR,G55
G57,S1,NOT,-
G58,G28,AND,G57
G59,G56,AND,S1
G60,G58,OR,G59
G61,S4,NOT,-
G62,I16,AND,G61
G63,I17,AND,S4
G64,G62,OR,G63
G65,S4,NOT,-
G66,I18,AND,G65
G67,I19,AND,S4
G68,G66,OR,G67
G69,S3,NOT,-
G70,G64,AND,G69
G71,G68,AND,S3
G72,G70,OR,G71
G73,S4,NOT,-
G74,I20,AND,G73
G75,I21,AND,S4
G76,G74,OR,G75
G77,S4,NOT,-
G78,I22,AND,G77
G79,I23,AND,S4
G80,G78,OR,G79
G81,S3,NOT,-
G82,G76,AND,G81
G83,G80,AND,S3
G84,G82,OR,G83
G85,S2,NOT,-
G86,G72,AND,G85
G87,G84,AND,S2
G88,G86,OR,G87
G89,S4,NOT,-
G90,I24,AND,G89
G91,I25,AND,S4
G92,G90,OR,G91
G93,S4,NOT,-
G94,I26,AND,G93
G95,I27,AND,S4
G96,G94,OR,G95
G97,S3,NOT,-
G98,G92,AND,G97
G99,G96,AND,S3
G100,G98,OR,G99
G101,S4,NOT,-
G102,I28,AND,G101
G103,I29,AND,S4
G104,G102,OR,G103
G105,S4,NOT,-
G106,I30,AND,G105
G107,I31,AND,S4
G108,G106,OR,G107
G109,S3,NOT,-
G110,G104,AND,G109
G111,G108,AND,S3
G112,G110,OR,G111
G113,S2,NOT,-
G114,G100,AND,G113
G115,G112,AND,S2
G116,G114,OR,G115
G117,S1,NOT,-
G118,G88,AND,G117
G119,G116,AND,S1
G120,G118,OR,G119
G121,S0,NOT,-
G122,G60,AND,G121
G123,G120,AND,S0
G124,G122,OR,G123
Y,G124,BUF,-
