ID,Input1,Type,Input2
1.1,B0,NOT,-
2.1,A0,AND,B0
3.1,A0,OR,2.1
4.1,1.1,OR,3.1
4.2,B1,NOT,-
4.3,A0,AND,B0
4.4,A1,AND,B1
4.5,A2,AND,B2
4.6,A3,AND,B3
5.1,A1,AND,4.1
5.2,A1,AND,4.2
5.3,A1,AND,4.3
5.4,A1,AND,A0
6.1,4.1,AND,4.2
6.2,5.1,OR,5.2
6.3,5.3,OR,4.4
6.4,B1,AND,4.3
6.5,A1,OR,5.4
7.1,6.1,OR,6.2
7.2,B2,NOT,-
7.3,6.3,OR,6.4
7.4,A0,OR,6.5
8.1,A2,AND,7.2
8.2,A2,AND,7.1
8.3,A2,AND,7.4
8.4,A2,AND,7.3
9.1,8.1,OR,8.2
9.2,7.1,AND,7.2
9.3,A2,OR,8.3
9.4,B2,AND,7.3
9.5,4.5,OR,8.4
10.1,9.1,OR ,9.2
10.2,7.4,OR,9.3
10.3,B3,NOT,-
10.4,9.4,OR,9.5
11.1,A3,AND,10.2
11.2,A3,AND,10.1
11.3,A3,AND,10.3
11.4,A3,AND,10.4
12.1,1,XOR,A1
12.2,1,XOR,A2
12.3,1,XOR,A3
12.4,11.1,OR,A3
12.5,1.1,XOR,A0
12.6,4.2,XOR,A1
12.7,7.2,XOR,A2
12.8,11.2,OR,11.3
12.9,10.3,AND,10.1
12.10),10.3,XOR,A3
12.11,4.6,OR,11.4
12.12,10.4,AND,B3
12.13,A1,XOR,B1
12.14,A2,XOR,B2
12.15,A2,AND,5.4
12.16,A3,XOR,B3
13.1,A0,XOR,12.1
13.2,7.4,XOR,12.2
13.3,10.2,XOR,12.3
13.4,10.2,OR,12.4
13.5,1,XOR,12.5
13.6,4.1,XOR,12.6
13.7,7.1,XOR,12.7
13.8,12.8,OR,12.9
13.9,12.10),XOR,10.1
13.10),12.11,OR,12.12
13.11,A0,XOR,B0
13.12,4.3,XOR,12.13
13.13,7.3,XOR,12.14
13.14,10.4,XOR,12.16
13.15,A0,XOR,A1
13.16,A2,XOR,5.4
13.17,A3,AND,12.15
13.18,A3,XOR,12.15
13.19,A0,OR,B0
13.20),A1,OR,B1
13.21,A2,OR,B2
13.22,A3,OR,B3
13.23,A0,XOR,1
13.24,A0,XOR,1
13.25,A0,NOT,-
13.26,A1,NOT,-
13.27,A2,NOT,-
13.28,A3,NOT,-
