ID,Input1,Type,Input2
G1,A0,XOR,B0
G2,G1,XOR,Cin
SUM0,G2,BUF,-
G4,A0,NAND,B0
G5,A0,NAND,Cin
G6,B0,NAND,Cin
G7,G4,NAND,G5
C0,G7,NAND,G6
G9,A1,XOR,B1
G10,G9,XOR,C0
SUM1,G10,BUF,-
G12,A1,NAND,B1
G13,A1,NAND,C0
G14,B1,NAND,C0
G15,G12,NAND,G13
C1,G15,NAND,G14
G17,A2,XOR,B2
G18,G17,XOR,C1
SUM2,G18,BUF,-
G20,A2,NAND,B2
G21,A2,NAND,C1
G22,B2,NAND,C1
G23,G20,NAND,G21
C2,G23,NAND,G22
G25,A3,XOR,B3
G26,G25,XOR,C2
SUM3,G26,BUF,-
G28,A3,NAND,B3
G29,A3,NAND,C2
G30,B3,NAND,C2
G31,G28,NAND,G29
C3,G31,NAND,G30
G33,A4,XOR,B4
G34,G33,XOR,C3
SUM4,G34,BUF,-
G36,A4,NAND,B4
G37,A4,NAND,C3
G38,B4,NAND,C3
G39,G36,NAND,G37
C4,G39,NAND,G38
G41,A5,XOR,B5
G42,G41,XOR,C4
SUM5,G42,BUF,-
G44,A5,NAND,B5
G45,A5,NAND,C4
G46,B5,NAND,C4
G47,G44,NAND,G45
C5,G47,NAND,G46
G49,A6,XOR,B6
G50,G49,XOR,C5
SUM6,G50,BUF,-
G52,A6,NAND,B6
G53,A6,NAND,C5
G54,B6,NAND,C5
G55,G52,NAND,G53
C6,G55,NAND,G54
G57,A7,XOR,B7
G58,G57,XOR,C6
SUM7,G58,BUF,-
G60,A7,NAND,B7
G61,A7,NAND,C6
G62,B7,NAND,C6
G63,G60,NAND,G61
C7,G63,NAND,G62
G65,A8,XOR,B8
G66,G65,XOR,C7
SUM8,G66,BUF,-
G68,A8,NAND,B8
G69,A8,NAND,C7
G70,B8,NAND,C7
G71,G68,NAND,G69
C8,G71,NAND,G70
G73,A9,XOR,B9
G74,G73,XOR,C8
SUM9,G74,BUF,-
G76,A9,NAND,B9
G77,A9,NAND,C8
G78,B9,NAND,C8
G79,G76,NAND,G77
C9,G79,NAND,G78
G81,A10,XOR,B10
G82,G81,XOR,C9
SUM10,G82,BUF,-
G84,A10,NAND,B10
G85,A10,NAND,C9
G86,B10,NAND,C9
G87,G84,NAND,G85
C10,G87,NAND,G86
G89,A11,XOR,B11
G90,G89,XOR,C10
SUM11,G90,BUF,-
G92,A11,NAND,B11
G93,A11,NAND,C10
G94,B11,NAND,C10
G95,G92,NAND,G93
C11,G95,NAND,G94
G97,A12,XOR,B12
G98,G97,XOR,C11
SUM12,G98,BUF,-
G100,A12,NAND,B12
G101,A12,NAND,C11
G102,B12,NAND,C11
G103,G100,NAND,G101
C12,G103,NAND,G102
G105,A13,XOR,B13
G106,G105,XOR,C12
SUM13,G106,BUF,-
G108,A13,NAND,B13
G109,A13,NAND,C12
G110,B13,NAND,C12
G111,G108,NAND,G109
C13,G111,NAND,G110
G113,A14,XOR,B14
G114,G113,XOR,C13
SUM14,G114,BUF,-
G116,A14,NAND,B14
G117,A14,NAND,C13
G118,B14,NAND,C13
G119,G116,NAND,G117
C14,G119,NAND,G118
G121,A15,XOR,B15
G122,G121,XOR,C14
SUM15,G122,BUF,-
G124,A15,NAND,B15
G125,A15,NAND,C14
G126,B15,NAND,C14
G127,G124,NAND,G125
C15,G127,NAND,G126
