ID,Input1,Type,Input2
G1,CLK,NAND,CLK
CLK_BAR,G1,BUF,-
R0_G2,D0,NAND,CLK
R0_G3,D0,NAND,R0_G2
R0_G4,R0_G2,NAND,R0_G5
R0_G5,R0_G3,NAND,R0_G4
R0_G6,R0_G4,NAND,CLK_BAR
R0_G7,R0_G4,NAND,R0_G6
R0_G8,R0_G6,NAND,Q0_BAR
Q0_BAR,R0_G7,NAND,R0_G8
Q0,Q0_BAR,NAND,Q0_BAR
R1_G2,D1,NAND,CLK
R1_G3,D1,NAND,R1_G2
R1_G4,R1_G2,NAND,R1_G5
R1_G5,R1_G3,NAND,R1_G4
R1_G6,R1_G4,NAND,CLK_BAR
R1_G7,R1_G4,NAND,R1_G6
R1_G8,R1_G6,NAND,Q1_BAR
Q1_BAR,R1_G7,NAND,R1_G8
Q1,Q1_BAR,NAND,Q1_BAR
R2_G2,D2,NAND,CLK
R2_G3,D2,NAND,R2_G2
R2_G4,R2_G2,NAND,R2_G5
R2_G5,R2_G3,NAND,R2_G4
R2_G6,R2_G4,NAND,CLK_BAR
R2_G7,R2_G4,NAND,R2_G6
R2_G8,R2_G6,NAND,Q2_BAR
Q2_BAR,R2_G7,NAND,R2_G8
Q2,Q2_BAR,NAND,Q2_BAR
R3_G2,D3,NAND,CLK
R3_G3,D3,NAND,R3_G2
R3_G4,R3_G2,NAND,R3_G5
R3_G5,R3_G3,NAND,R3_G4
R3_G6,R3_G4,NAND,CLK_BAR
R3_G7,R3_G4,NAND,R3_G6
R3_G8,R3_G6,NAND,Q3_BAR
Q3_BAR,R3_G7,NAND,R3_G8
Q3,Q3_BAR,NAND,Q3_BAR
R4_G2,D4,NAND,CLK
R4_G3,D4,NAND,R4_G2
R4_G4,R4_G2,NAND,R4_G5
R4_G5,R4_G3,NAND,R4_G4
R4_G6,R4_G4,NAND,CLK_BAR
R4_G7,R4_G4,NAND,R4_G6
R4_G8,R4_G6,NAND,Q4_BAR
Q4_BAR,R4_G7,NAND,R4_G8
Q4,Q4_BAR,NAND,Q4_BAR
R5_G2,D5,NAND,CLK
R5_G3,D5,NAND,R5_G2
R5_G4,R5_G2,NAND,R5_G5
R5_G5,R5_G3,NAND,R5_G4
R5_G6,R5_G4,NAND,CLK_BAR
R5_G7,R5_G4,NAND,R5_G6
R5_G8,R5_G6,NAND,Q5_BAR
Q5_BAR,R5_G7,NAND,R5_G8
Q5,Q5_BAR,NAND,Q5_BAR
R6_G2,D6,NAND,CLK
R6_G3,D6,NAND,R6_G2
R6_G4,R6_G2,NAND,R6_G5
R6_G5,R6_G3,NAND,R6_G4
R6_G6,R6_G4,NAND,CLK_BAR
R6_G7,R6_G4,NAND,R6_G6
R6_G8,R6_G6,NAND,Q6_BAR
Q6_BAR,R6_G7,NAND,R6_G8
Q6,Q6_BAR,NAND,Q6_BAR
R7_G2,D7,NAND,CLK
R7_G3,D7,NAND,R7_G2
R7_G4,R7_G2,NAND,R7_G5
R7_G5,R7_G3,NAND,R7_G4
R7_G6,R7_G4,NAND,CLK_BAR
R7_G7,R7_G4,NAND,R7_G6
R7_G8,R7_G6,NAND,Q7_BAR
Q7_BAR,R7_G7,NAND,R7_G8
Q7,Q7_BAR,NAND,Q7_BAR
