ID,Input1,Type,Input2
G1,SI,NAND,CLK
G2,G1,NAND,G1
G3,G2,NAND,CLK
Q0,G3,NAND,G2
G5,Q0,NAND,CLK
G6,G5,NAND,G5
G7,G6,NAND,CLK
Q1,G7,NAND,G6
G9,Q1,NAND,CLK
G10,G9,NAND,G9
G11,G10,NAND,CLK
Q2,G11,NAND,G10
G13,Q2,NAND,CLK
G14,G13,NAND,G13
G15,G14,NAND,CLK
Q3,G15,NAND,G14
G17,Q3,NAND,CLK
G18,G17,NAND,G17
G19,G18,NAND,CLK
Q4,G19,NAND,G18
G21,Q4,NAND,CLK
G22,G21,NAND,G21
G23,G22,NAND,CLK
Q5,G23,NAND,G22
G25,Q5,NAND,CLK
G26,G25,NAND,G25
G27,G26,NAND,CLK
Q6,G27,NAND,G26
G29,Q6,NAND,CLK
G30,G29,NAND,G29
G31,G30,NAND,CLK
Q7,G31,NAND,G30
G33,Q7,NAND,CLK
G34,G33,NAND,G33
G35,G34,NAND,CLK
Q8,G35,NAND,G34
G37,Q8,NAND,CLK
G38,G37,NAND,G37
G39,G38,NAND,CLK
Q9,G39,NAND,G38
G41,Q9,NAND,CLK
G42,G41,NAND,G41
G43,G42,NAND,CLK
Q10,G43,NAND,G42
G45,Q10,NAND,CLK
G46,G45,NAND,G45
G47,G46,NAND,CLK
Q11,G47,NAND,G46
G49,Q11,NAND,CLK
G50,G49,NAND,G49
G51,G50,NAND,CLK
Q12,G51,NAND,G50
G53,Q12,NAND,CLK
G54,G53,NAND,G53
G55,G54,NAND,CLK
Q13,G55,NAND,G54
G57,Q13,NAND,CLK
G58,G57,NAND,G57
G59,G58,NAND,CLK
Q14,G59,NAND,G58
G61,Q14,NAND,CLK
G62,G61,NAND,G61
G63,G62,NAND,CLK
Q15,G63,NAND,G62
